Id,TitleSimScore
1,42
2,23
3,9
4,29
5,1
6,59
7,44
8,50
9,27
10,29
11,72
12,5
13,16
14,21
15,22
16,110
17,16
18,21
19,41
20,45
21,26
22,24
23,39
24,43
25,39
26,45
27,24
28,19
29,17
30,42
31,40
32,42
33,35
34,71
35,39
36,49
37,29
38,111
39,22
40,36
41,93
42,1
43,27
44,60
45,12
46,38
47,24
48,20
49,37
50,34
51,46
52,30
53,11
54,28
55,27
56,59
57,18
58,69
59,42
60,33
61,36
62,22
63,28
64,28
65,32
66,23
67,75
68,16
69,11
70,37
71,51
72,26
74,12
75,34
76,17
77,26
78,28
79,26
80,37
81,31
82,20
83,29
84,36
85,26
86,12
87,10
88,21
89,32
90,11
91,54
92,55
93,34
94,58
95,37
96,14
97,71
98,20
99,37
100,76
101,36
102,10
103,17
104,38
105,66
106,34
107,24
108,29
109,35
110,13
111,64
