Id,AmazonInfo
1,7
2,10
3,5
4,6
5,7
6,11
7,4
8,4
9,4
10,4
11,4
12,7
13,15
14,6
15,5
16,7
17,11
18,10
19,9
20,11
21,12
22,16
23,8
24,8
25,10
26,6
27,12
28,6
29,6
30,9
31,11
32,6
33,3
34,8
35,7
36,12
37,8
38,9
39,10
40,11
41,12
42,9
43,13
44,8
45,15
46,11
47,11
48,8
49,10
50,9
51,9
52,6
53,10
54,6
55,12
56,7
57,9
58,7
59,5
60,5
61,10
62,14
63,10
64,9
65,9
66,9
67,8
68,6
69,10
70,10
71,8
72,10
73,11
74,6
75,4
76,11
77,6
78,8
79,9
80,8
81,6
82,12
83,8
84,5
85,11
86,3
87,9
88,8
89,8
90,10
91,12
92,8
93,6
94,12
95,9
96,11
97,13
98,12
99,10
100,7
101,12
102,7
103,10
104,8
105,6
106,8
107,7
108,5
109,5
110,6
111,5
112,6
113,8
114,14
115,9
116,6
117,8
118,9
119,9
120,12
121,8
122,9
123,9
124,14
125,9
126,10
127,14
128,9
129,12
130,8
131,7
132,8
133,8
134,10
135,11
136,10
137,13
138,10
139,11
140,12
141,6
142,9
143,8
144,8
145,6
146,11
147,8
148,7
149,14
150,12
151,10
152,7
153,12
154,8
155,8
156,7
157,8
158,9
159,9
160,9
161,11
162,5
163,6
164,9
165,5
166,20
167,3
168,9
169,5
170,8
171,7
172,10
173,13
174,12
175,16
176,8
177,9
178,8
179,10
180,8
181,8
182,7
183,9
184,12
185,10
186,8
187,9
188,9
189,7
190,8
191,7
192,8
193,5
194,8
195,10
196,6
197,12
198,8
199,18
200,10
201,10
202,10
203,12
204,11
205,10
206,7
207,11
208,12
209,14
210,9
211,8
212,8
213,15
214,9
215,7
216,9
217,12
218,8
219,5
220,12
221,9
222,12
223,10
224,11
225,7
226,7
227,9
228,9
229,8
230,7
231,9
232,6
233,13
234,7
235,10
236,9
237,11
238,7
239,8
240,2
241,8
242,9
243,10
244,7
245,9
246,5
247,8
248,6
249,9
250,10
251,12
252,12
253,10
254,11
255,9
256,12
257,8
258,7
259,7
260,8
261,11
262,12
263,8
264,14
265,11
266,12
267,8
268,9
269,2
270,9
271,6
272,6
273,9
274,8
275,11
276,9
277,10
278,10
279,11
280,8
281,6
282,9
283,12
284,7
285,11
286,13
287,13
288,7
289,6
290,8
291,8
292,9
293,11
294,10
295,12
296,9
297,7
298,9
299,1
300,14
301,6
302,11
303,13
304,7
305,9
306,8
307,7
308,6
309,7
310,13
311,6
312,9
313,10
314,12
315,5
316,5
317,9
318,6
319,10
320,6
321,5
322,10
323,6
324,8
325,6
326,9
327,11
328,5
329,10
330,11
331,7
332,9
333,7
334,8
335,8
336,6
337,6
338,10
339,11
340,9
341,9
342,9
343,9
344,7
345,8
346,10
347,8
348,8
349,9
350,9
351,8
352,6
353,7
354,9
355,8
356,9
357,9
358,8
359,9
360,7
361,9
362,7
363,9
364,6
365,9
366,9
367,6
368,11
369,7
370,8
371,10
372,9
373,7
374,8
375,7
